"","updown","sma.10","RSI","fastK","fastD","larry.williams","ad","cci","mom","macd","wma"
"104",1,63118,48.1372072234469,0.0894308943089431,0.36189770735474,0.910569105691057,3200,-87.5244176215052,-600,0.612256588417392,62840.3636363636
"105",-1,63002,45.2753323927958,0,0.308626679317357,1,2820,-132.278620083498,-1160,0.473539616986351,62662.5454545455
"106",-1,62800,44.1996344159391,0,0.221710791466889,1,2680,-138.330286410725,-2020,0.341571446881184,62480.3636363636
"107",-1,62494,41.8331689118191,0,0.121710791466889,1,2380,-147.972249383061,-3060,0.195916750877845,62280.3636363636
"108",-1,62334,36.7341587725367,0,0.104787714543812,1,1680,-194.831013916502,-1600,-0.010203988498847,62008.7272727273
"109",-1,61956,31.2863487591099,0,0.045528455284553,1,780,-233.62416550995,-3780,-0.287862626865176,61602.5454545455
"110",-1,61586,24.5453125295021,0,0.045528455284553,1,-720,-274.593279610765,-3700,-0.697669092976716,60992.3636363636
"111",1,61186,29.0733248869982,0.102040816326531,0.0272772523643606,0.897959183673469,280,-220.265574204859,-4000,-0.96153965661544,60522.1818181818
"112",-1,60766,25.6524463584421,0,0.0232122117139541,1,-520,-191.510966693746,-4200,-1.26420295162233,59979.2727272727
"113",1,60424,34.0580145736828,0.180555555555556,0.0372027266191031,0.819444444444444,260,-139.2289420793,-3420,-1.38646173516506,59654.5454545455
"114",-1,60054,33.2024488428342,0.157360406091371,0.0439956777973459,0.842639593908629,100,-117.363977680516,-3700,-1.48871920276061,59362.9090909091
"115",1,59790,40.2860817049918,0.342105263157895,0.0782062041131353,0.657894736842105,780,-80.2875732990602,-2640,-1.46255902930937,59262.1818181818
"116",1,59590,45.0471489381252,0.514285714285714,0.129634775541707,0.485714285714286,1280,-43.5074177478512,-2000,-1.35926603041884,59300.3636363636
"117",-1,59414,44.5732974541584,0.621428571428571,0.191777632684564,0.378571428571429,1220,-42.3961039883007,-1760,-1.27084130948654,59364
"118",-1,59306,44.4003169169702,0.905263157894737,0.282303948474038,0.0947368421052632,1200,-38.6441668492953,-1080,-1.18977468182919,59456
"119",1,59296,45.3430427556038,1,0.382303948474038,0,1320,-31.6567446366357,-100,-1.10211039348992,59582.1818181818
"121",-1,59516,43.0881497983737,0.888888888888889,0.560988755730273,0.111111111111111,1120,-30.8213126493868,800,-0.972190766620773,59776.3636363636
"122",1,59694,45.7842778610867,0.983050847457627,0.659293840476036,0.0169491525423729,2080,-34.1764621412601,1780,-0.899087924040853,59860.7272727273
"123",1,59796,46.0995208373979,1,0.741238284920481,0,2300,-11.7125110913936,1020,-0.828914885836696,59916.3636363636
"124",-1,59894,43.3019256458479,0.6,0.785502244311344,0.4,2100,-13.3163337583231,980,-0.79108295456074,59917.0909090909
"125",1,59934,45.1511247840358,0.5,0.801291717995554,0.5,2980,-21.6610004856734,400,-0.739163858734759,59918.1818181818
"127",1,59960,52.7596947845136,1,0.837720289424125,0,3380,45.1505608435652,360,-0.590569461531842,59980.3636363636
"128",1,60068,62.7950286994454,1,0.847193973634652,0,5140,49.6409311880706,1080,-0.412981098124843,60169.4545454545
"132",-1,60394,43.4856514137943,0.2,0.78,0.8,4180,37.9513191110957,60,-0.115468672116936,60560
"133",1,60484,56.7296265616312,0.916666666666667,0.771666666666667,0.0833333333333333,5060,44.8428399687197,900,-0.0428238997488228,60652
"134",1,60604,58.001240084384,1,0.811666666666667,0,6040,44.1805640443553,1200,0.0276992609937965,60745.8181818182
"136",-1,60822,57.5834031762086,0.979166666666667,0.909583333333333,0.0208333333333333,6020,41.2773874101356,1080,0.12194104332155,60866.1818181818
"137",-1,60788,40.8908348020321,0,0.809583333333333,1,5000,29.0137754480069,-340,0.0172013772309576,60709.4545454545
"138",1,60694,42.7002405002422,0.0961538461538462,0.719198717948718,0.903846153846154,5100,31.2264205699692,-940,-0.0519927878651627,60577.0909090909
"139",1,60650,51.0284636249518,0.576923076923077,0.676891025641026,0.423076923076923,5640,36.6509458589305,-440,-0.039721703701201,60552.7272727273
"140",1,60610,51.6530835169073,0.615384615384615,0.638429487179487,0.384615384615385,6240,36.6257040895901,-400,-0.0243828905575505,60543.6363636364
"141",-1,60512,42.8480899763687,0.0576923076923077,0.544198717948718,0.942307692307692,5660,30.585187310364,-980,-0.0885772058365375,60436.3636363636
"142",1,60584,53.9711468959554,0.769230769230769,0.601121794871795,0.230769230769231,6500,37.0196677840886,720,-0.0402601894996968,60481.4545454545
"144",-1,60476,43.9759764725063,0.0961538461538462,0.49599358974359,0.903846153846154,5800,32.2191169620751,-940,-0.0642367483696504,60420.7272727273
"147",-1,60196,31.9261080118525,0,0.32038084464555,1,4760,30.4235079531478,-940,-0.31345750543571,60055.6363636364
"148",-1,60088,31.5565854486884,0,0.310765460030166,1,4700,29.9161285775473,-1080,-0.444704515031336,59834.5454545455
"149",-1,59894,28.2830217869764,0,0.253073152337858,1,4340,25.9456845943007,-1940,-0.590907612290081,59567.6363636364
"150",-1,59638,23.8534222428473,0,0.191534690799397,1,3760,26.6827664503259,-2560,-0.776981351405326,59230.5454545455
"151",1,59486,33.0882420641454,0.169117647058824,0.202677224736048,0.830882352941177,4220,30.6602220495464,-1520,-0.853062597685295,59023.6363636364
"152",-1,59240,31.2569632408974,0.0955882352941176,0.135312971342383,0.904411764705882,4020,30.2285019449901,-2460,-0.930292315795789,58808
"153",1,59004,33.3075811361177,0.178217821782178,0.0762116765975239,0.821782178217822,5420,28.583549875378,-2360,-0.967161052373877,58655.2727272727
"154",-1,58748,25.6547271160713,0,0.0665962919821393,1,4520,28.7753659610966,-2560,-1.10714095863519,58381.8181818182
"155",-1,58286,16.1927327607259,0,0.0567923704135118,1,2460,16.1595554780089,-4620,-1.4859370810423,57780.3636363636
"156",-1,57818,16.0017369104858,0,0.0442923704135118,1,1960,12.9778253172527,-4680,-1.77793923937426,57252
"157",-1,57438,15.4613829454065,0,0.0442923704135118,1,1800,13.0434337470693,-3800,-2.0118682821326,56779.6363636364
"158",1,57066,16.2469967483107,0.0117647058823529,0.0454688410017471,0.988235294117647,2060,19.6830722828055,-3720,-2.16952825353174,56383.6363636364
"159",1,56922,44.0013132442119,0.597560975609756,0.105224938562723,0.402439024390244,3980,29.9309940954186,-1440,-2.00226380275602,56404.3636363636
"160",1,56918,51.6106991378343,0.847560975609756,0.189981036123698,0.152439024390244,4800,39.569740133319,-40,-1.73422354953449,56600.3636363636
"162",1,56968,61.7765943194785,1,0.350931831536203,0,6120,48.5828262433892,1000,-1.12716955689361,57239.2727272727
"163",-1,57022,58.0257123368499,0.911764705882353,0.42428651994622,0.0882352941176471,5760,50.2623339674029,540,-0.868914772217833,57597.8181818182
"164",-1,57106,52.1608194707176,0.764705882352941,0.500757108181515,0.235294117647059,5160,41.9751134128623,840,-0.73939366705208,57837.4545454545
"165",1,57460,57.2784909292414,0.92156862745098,0.592913970926613,0.0784313725490196,5800,57.4241563624182,3540,-0.541574710292314,58178.1818181818
"166",-1,57714,47.8570382761523,0.661764705882353,0.659090441514848,0.338235294117647,4740,19.883744237322,2540,-0.525953960353975,58261.8181818182
"167",1,57992,48.5664758679383,0.678217821782178,0.726912223693066,0.321782178217822,4840,45.6397718011409,2780,-0.496761564429649,58313.8181818182
"168",1,58324,53.6468242282457,0.660377358490566,0.791773488953887,0.339622641509434,5420,62.4711494076012,3320,-0.388622667255301,58420.7272727273
"169",-1,58456,52.8468322096983,0.420289855072464,0.774046376900158,0.579710144927536,5340,57.3402417962002,1320,-0.31046512674624,58452.7272727273
"172",1,58526,58.1919146099462,1,0.685926866705876,0,6700,50.583499840732,-300,-0.0797121689408709,58540.3636363636
"173",-1,58482,51.6824653900838,0.537037037037037,0.648454099821344,0.462962962962963,5800,51.998501484107,-440,-0.0590533751756994,58535.6363636364
"174",-1,58350,37.7823181803247,0,0.57198351158605,1,4120,33.2164552761063,-1320,-0.244653968743991,58269.8181818182
"175",1,58332,54.2318993459447,0.898989898989899,0.569725638739942,0.101010101010101,5900,44.948235213722,-180,-0.143710790358353,58351.6363636364
"176",1,58440,55.6943056482011,1,0.603549168151707,0,8260,38.7614989469803,1080,-0.0357381498967246,58473.0909090909
"181",-1,58722,54.2271394502684,0.94949494949495,0.838552188552188,0.0505050505050505,8160,35.809839374637,400,0.215900031587579,58841.0909090909
"182",1,58722,55.5288207195765,1,0.838552188552188,0,8660,40.3943263221707,0,0.237454937803028,58891.6363636364
"183",-1,58722,47.9528464965969,0.747474747474748,0.859595959595959,0.252525252525253,8160,36.2534981306244,0,0.183718260073729,58851.2727272727
"184",1,58920,54.8041894607798,1,0.959595959595959,0,9660,37.2557048492409,1980,0.20743796631828,58901.8181818182
"185",-1,58850,43.3826468041011,0,0.869696969696969,1,8760,36.6099282669055,-700,0.101375739850806,58752.7272727273
"186",1,58820,50.954110644761,0.666666666666667,0.836363636363636,0.333333333333333,9360,37.5554666819022,-300,0.0986700037316712,58725.4545454545
"187",1,58820,54.3459632312038,1,0.836363636363636,0,9660,40.7263639938603,0,0.13619887467724,58758.1818181818
"188",-1,58818,54.0689829911398,0.977777777777778,0.834141414141414,0.0222222222222222,9640,39.8830865406866,-20,0.161297803577876,58787.2727272727
"189",-1,58808,52.8713617912282,0.888888888888889,0.823030303030303,0.111111111111111,9560,40.3672689598798,-100,0.168241921132073,58802.1818181818
"190",1,58802,53.4442528837189,0.933333333333333,0.816363636363636,0.0666666666666667,10000,39.1689384081028,-60,0.177182563122313,58826.1818181818
"191",1,58822,55.8305611336127,1,0.821414141414141,0,11100,37.7830270900577,200,0.203851347998474,58880.3636363636
"192",1,58922,66.5473333962027,1,0.821414141414141,0,12000,56.360085323157,1000,0.344183508205842,59094.5454545455
"193",-1,59060,64.2382888527136,0.936842105263158,0.840350877192982,0.0631578947368421,11880,48.4325361146077,1380,0.433614589731968,59268.7272727273
"194",-1,59116,58.2497366167645,0.768421052631579,0.81719298245614,0.231578947368421,11560,45.1779761103885,560,0.4553851413998,59359.6363636364
"195",-1,59206,49.3111553055345,0.230769230769231,0.840269905533063,0.769230769230769,11000,36.7232904546337,900,0.391732056039329,59338.5454545455
"196",1,59248,51.0978616864084,0.2,0.793603238866396,0.8,11120,39.1279043739086,420,0.353582604072078,59322.9090909091
"197",-1,59258,50.7664833479032,0.181818181818182,0.711785057048215,0.818181818181818,10540,42.3514255808336,100,0.316969130658995,59296
"200",-1,59296,48.6045571884045,0,0.465061214852674,1,10440,21.2022367194745,60,0.21735324817389,59183.6363636364
"202",1,59188,49.1393562125034,0.0227272727272727,0.267333942125401,0.977272727272727,10460,88.4934756820826,-980,0.159353443894994,59081.4545454545
"203",-1,59100,48.5777129560278,0,0.173649731599086,1,10440,2.04635437518817,-880,0.135137553825948,59047.2727272727
"205",1,59084,59.8956555110641,1,0.173730703259005,0,10840,62.3382002692266,400,0.15125612780742,59093.8181818182
"206",1,59172,70.6588643293281,1,0.253730703259005,0,11440,185.677371723871,880,0.259047127953194,59260.3636363636
"207",-1,59164,47.5158056252342,0.02,0.237548885077187,0.98,10460,-32.4974171128075,-80,0.208433068361402,59232.7272727273
"208",1,59172,50.4593283423618,0.18,0.237367066895368,0.82,10620,-1.38026224983531,80,0.187960989707325,59235.6363636364
"209",-1,59166,47.8502415022437,0.04,0.226272727272727,0.96,10480,-30.1283995551575,-60,0.150911795508324,59211.6363636364
"210",1,59246,60.2481289857291,0.8,0.306272727272727,0.2,11240,161.472571532704,800,0.222547863843947,59326.9090909091
"211",-1,59150,37.3812865415343,0,0.306272727272727,1,9480,-199.722366822839,-960,0.0389264600791472,59107.6363636364
"212",-1,58758,21.9314866235247,0,0.304,1,6540,-535.093309057845,-3920,-0.505199562828873,58371.2727272727
"213",1,58438,29.6261260609406,0.142857142857143,0.318285714285714,0.857142857142857,7240,-293.122185995983,-3200,-0.834016814504002,57833.4545454545
"214",1,58388,50.5249491165405,0.693877551020408,0.387673469387755,0.306122448979592,9940,-34.8006019563639,-500,-0.712839541011212,57844.7272727273
"216",1,58196,53.5523279926978,0.825531914893617,0.339614415979157,0.174468085106383,10420,50.0721500721475,-1020,-0.456380208018647,57989.0909090909
"218",1,58174,53.6980695361548,0.829787234042553,0.485146330872774,0.170212765957447,10920,6.54532083103157,-180,-0.226512641154553,58278.5454545455
"219",-1,58168,53.511507150576,0.825531914893617,0.563699522362136,0.174468085106383,9940,-11.6617003274154,-60,-0.144779799675154,58425.0909090909
"220",-1,57952,42.5152991541369,0.651282051282051,0.548827727490341,0.348717948717949,8600,-104.271712179461,-2160,-0.261732108289658,58329.0909090909
